import time: self [us] | cumulative | imported package
import time:      1056 |       3548 |           sqlalchemy.orm.decl_api
import time:       695 |        695 |             sqlalchemy.orm.writeonly
import time:       637 |       1332 |           sqlalchemy.orm.dynamic
import time:       615 |        615 |             sqlalchemy.orm.scoping
import time:      4124 |       4739 |           sqlalchemy.orm.events
import time:       611 |        611 |           sqlalchemy.orm.dependency
import time:       722 |     238151 |         sqlalchemy.orm
import time:       328 |        328 |           src
import time:       421 |        421 |               numpy.version
import time:       266 |        266 |               numpy._expired_attrs_2_0
import time:       358 |        358 |                   numpy._utils._convertions
import time:       323 |        680 |                 numpy._utils
import time:       418 |       1098 |               numpy._globals
import time:        70 |         70 |                 numpy._distributor_init_local
import time:       313 |        382 |               numpy._distributor_init
import time:       533 |        533 |                         numpy.exceptions
import time:       467 |        467 |                         numpy._core._exceptions
import time:       433 |        433 |                         numpy._core.printoptions
import time:       359 |        359 |                         numpy.dtypes
import time:      6312 |       8102 |                       numpy._core._multiarray_umath
import time:       343 |        343 |                         numpy._utils._inspect
import time:       549 |        892 |                       numpy._core.overrides
import time:      1587 |      10579 |                     numpy._core.multiarray
import time:       399 |        399 |                     numpy._core.umath
import time:       338 |        338 |                       numpy._core._dtype
import time:       307 |        307 |                       numpy._core._string_helpers
import time:       415 |        415 |                       numpy._core._type_aliases
import time:       477 |       1535 |                     numpy._core.numerictypes
import time:       350 |        350 |                             numpy._core._methods
import time:       761 |       1111 |                           numpy._core.fromnumeric
import time:       464 |       1574 |                         numpy._core.shape_base
import time:       380 |        380 |                         numpy._core._ufunc_config
import time:       356 |        356 |                         numpy._core._asarray
import time:       790 |        790 |                         numpy._core.arrayprint
import time:       822 |       3921 |                       numpy._core.numeric
import time:       502 |       4422 |                     numpy._core.einsumfunc
import time:       419 |        419 |                     numpy._core.function_base
import time:       465 |        465 |                     numpy._core.getlimits
import time:       520 |        520 |                     numpy._core.memmap
import time:       541 |        541 |                     numpy._core.records
import time:      4236 |       4236 |                     numpy._core._add_newdocs
import time:       779 |        779 |                     numpy._core._add_newdocs_scalars
import time:       344 |        344 |                     numpy._core._dtype_ctypes
import time:       947 |        947 |                         _ctypes
import time:       657 |        657 |                         ctypes._endian
import time:      1029 |       2632 |                       ctypes
import time:       741 |       3372 |                     numpy._core._internal
import time:       353 |        353 |                     numpy._pytesttester
import time:       770 |      28729 |                   numpy._core
import time:        31 |      28759 |                 numpy._core._multiarray_umath
import time:       406 |      29165 |               numpy.__config__
import time:       419 |        419 |                                 numpy._typing._nbit_base
import time:       463 |        463 |                                 numpy._typing._nested_sequence
import time:       357 |        357 |                                 numpy._typing._shape
import time:      3178 |       4415 |                               numpy._typing._array_like
import time:      2833 |       2833 |                               numpy._typing._char_codes
import time:      2832 |       2832 |                               numpy._typing._dtype_like
import time:       377 |        377 |                               numpy._typing._nbit
import time:       331 |        331 |                               numpy._typing._scalars
import time:       285 |        285 |                               numpy._typing._ufunc
import time:       545 |      11614 |                             numpy._typing
import time:       444 |        444 |                               numpy.lib._stride_tricks_impl
import time:       466 |        910 |                             numpy.lib._twodim_base_impl
import time:       298 |        298 |                               numpy.lib._array_utils_impl
import time:       316 |        614 |                             numpy.lib.array_utils
import time:       558 |        558 |                             numpy.linalg._umath_linalg
import time:      1530 |      15225 |                           numpy.linalg._linalg
import time:       591 |      15815 |                         numpy.linalg
import time:       520 |      16335 |                       numpy.matrixlib.defmatrix
import time:       351 |      16686 |                     numpy.matrixlib
import time:       488 |        488 |                       numpy.lib._histograms_impl
import time:      1118 |       1605 |                     numpy.lib._function_base_impl
import time:       537 |      18827 |                   numpy.lib._index_tricks_impl
import time:       542 |      19369 |                 numpy.lib._arraypad_impl
import time:      1746 |       1746 |                 numpy.lib._arraysetops_impl
import time:       380 |        380 |                 numpy.lib._arrayterator_impl
import time:       937 |        937 |                 numpy.lib._nanfunctions_impl
import time:       716 |        716 |                       numpy.lib._utils_impl
import time:       698 |       1413 |                     numpy.lib._format_impl
import time:       519 |       1932 |                   numpy.lib.format
import time:       643 |        643 |                   numpy.lib._datasource
import time:       794 |        794 |                   numpy.lib._iotools
import time:      1299 |       4666 |                 numpy.lib._npyio_impl
import time:       579 |        579 |                     numpy.lib._ufunclike_impl
import time:       701 |       1280 |                   numpy.lib._type_check_impl
import time:       998 |       2278 |                 numpy.lib._polynomial_impl
import time:       711 |        711 |                 numpy.lib._shape_base_impl
import time:       347 |        347 |                 numpy.lib._version
import time:       294 |        294 |                 numpy.lib.introspect
import time:       321 |        321 |                 numpy.lib.mixins
import time:       263 |        263 |                 numpy.lib.npyio
import time:       371 |        371 |                   numpy.lib._scimath_impl
import time:       239 |        609 |                 numpy.lib.scimath
import time:       244 |        244 |                 numpy.lib.stride_tricks
